,device_brand,5g,internal_memory,ram,days_used,price
1903,11,0,16.0,4.0,1037,14756
1904,11,0,16.0,4.0,868,17050
1905,11,0,16.0,4.0,633,24118
1906,11,0,512.0,0.25,876,18352
1907,11,0,32.0,4.0,888,27900
1908,11,0,16.0,4.0,883,24490
1909,11,0,16.0,4.0,635,23002
1910,11,0,16.0,4.0,983,25854
1911,11,0,16.0,4.0,613,26536
1912,11,0,512.0,0.25,1015,19840
1913,11,0,16.0,4.0,769,22258
1914,11,0,16.0,4.0,692,25730
1915,11,0,16.0,4.0,723,28148
1916,11,0,16.0,4.0,1032,26908
1917,11,0,16.0,4.0,793,22630
1918,11,0,16.0,4.0,577,20088
1919,11,0,16.0,4.0,1047,27528
1920,11,0,16.0,4.0,781,23808
1921,11,0,16.0,4.0,965,24924
1922,11,0,16.0,4.0,956,23188
1923,11,0,16.0,4.0,823,25110
1924,11,0,16.0,4.0,603,16802
1925,11,0,16.0,4.0,748,14508
1926,11,0,16.0,4.0,596,16802
1927,11,0,16.0,4.0,694,16678
1928,11,0,16.0,4.0,1016,18166
1929,11,0,16.0,4.0,946,14012
1930,11,0,16.0,4.0,780,26288
1931,11,0,16.0,4.0,706,26846
1932,11,0,16.0,4.0,726,26288
1933,11,0,16.0,4.0,645,23188
1934,11,0,16.0,4.0,1025,23932
1935,11,0,16.0,4.0,969,24552
1936,11,0,16.0,4.0,833,19406
1937,11,0,512.0,0.25,1008,19406
1938,11,0,16.0,4.0,667,23746
1939,11,0,16.0,4.0,669,23622
1940,11,0,1024.0,4.0,836,21266
1941,11,0,16.0,4.0,961,24986
1942,11,0,32.0,4.0,931,30690
1943,11,0,32.0,4.0,820,30442
1944,11,0,32.0,4.0,692,30008
1945,11,0,32.0,4.0,751,29016
1946,11,0,32.0,4.0,790,23622
1947,11,0,32.0,4.0,965,24552
1948,11,0,32.0,4.0,890,20956
1949,11,0,32.0,4.0,823,27404
1950,11,0,32.0,4.0,956,25978
1951,11,0,32.0,4.0,949,26288
1952,11,0,32.0,4.0,937,27590
1953,11,0,32.0,4.0,874,26288
1954,11,0,32.0,4.0,564,26474
1955,11,0,32.0,4.0,1017,27156
1956,11,0,32.0,4.0,1083,23560
1957,11,0,32.0,4.0,696,22816
1958,11,0,32.0,4.0,670,22196
1959,11,0,32.0,4.0,708,22568
1960,11,0,32.0,4.0,683,23560
1961,11,0,32.0,4.0,1089,24366
1962,11,0,32.0,4.0,931,32426
1963,7,0,64.0,4.0,390,29202
1964,7,0,64.0,4.0,368,29140
1965,7,0,64.0,4.0,280,28954
1966,7,0,32.0,4.0,496,26412
1967,7,0,64.0,4.0,447,27838
1968,7,0,64.0,4.0,373,28954
1969,7,0,128.0,4.0,706,27466
1970,7,0,16.0,4.0,660,24490
1971,7,0,16.0,4.0,598,25792
1972,7,0,32.0,4.0,634,26846
1973,7,0,16.0,4.0,426,27032
1974,7,0,32.0,4.0,533,26598
1975,7,0,64.0,4.0,438,31248
1976,7,0,64.0,4.0,567,27652
1977,7,0,64.0,4.0,561,27838
1978,7,0,64.0,4.0,564,30008
1979,7,0,64.0,4.0,821,28830
1980,7,0,32.0,4.0,573,26474
1981,7,0,64.0,4.0,558,29946
1982,7,0,16.0,4.0,874,26722
1983,7,0,16.0,4.0,666,25916
1984,7,0,64.0,4.0,842,26288
1985,7,0,16.0,4.0,746,23684
1986,7,0,32.0,4.0,803,25110
1987,7,0,32.0,4.0,873,27714
1988,7,0,16.0,4.0,578,26474
1989,7,0,64.0,4.0,554,29202
1990,7,0,16.0,4.0,917,26536
1991,7,0,32.0,4.0,904,26722
1992,7,0,32.0,4.0,659,25730
1993,7,0,32.0,4.0,1041,27466
1994,7,0,32.0,4.0,694,28458
1995,7,0,64.0,4.0,827,28272
1996,7,0,16.0,4.0,667,27776
1997,7,0,32.0,4.0,563,24242
1998,7,0,16.0,4.0,833,25420
1999,7,0,32.0,4.0,582,28272
2000,7,0,32.0,4.0,905,28396
2001,7,0,16.0,4.0,749,27962
2002,7,0,16.0,4.0,1020,30318
2003,7,0,16.0,4.0,694,27776
2004,7,0,16.0,4.0,586,27838
2005,7,0,32.0,4.0,820,27962
2006,7,0,32.0,4.0,608,27032
2007,7,0,32.0,4.0,579,24428
2008,7,0,32.0,4.0,842,21948
2009,7,0,32.0,4.0,863,26350
2010,7,0,32.0,4.0,613,23808
2011,7,0,64.0,4.0,768,27218
2012,7,0,32.0,4.0,564,30442
2013,7,0,32.0,4.0,739,26722
2014,7,0,16.0,4.0,572,28024
2015,7,0,32.0,4.0,808,25668
2016,7,0,32.0,4.0,1072,24986
2017,7,0,32.0,4.0,927,26350
2018,7,0,32.0,4.0,634,22320
2019,7,0,16.0,4.0,959,23994
2020,7,0,16.0,4.0,979,24552
2021,7,0,32.0,4.0,821,24490
2022,7,0,32.0,4.0,643,25668
2023,7,0,16.0,4.0,757,23374
2024,7,0,16.0,4.0,607,26288
2025,7,0,16.0,4.0,715,25544
2026,7,0,16.0,4.0,1044,26598
2027,7,0,16.0,4.0,944,27776
2028,7,0,16.0,4.0,667,21948
2029,11,0,32.0,4.0,739,27652
2030,9,0,128.0,4.0,188,28644
2031,9,0,128.0,4.0,294,32178
2032,9,0,32.0,4.0,492,26350
2033,9,0,32.0,4.0,317,28334
2034,9,0,32.0,4.0,226,25854
2036,9,0,64.0,4.0,485,28520
2037,9,0,32.0,4.0,642,26040
2038,9,0,64.0,4.0,634,27342
2039,9,0,64.0,4.0,648,27962
2040,9,0,64.0,4.0,525,28272
2041,9,0,32.0,4.0,586,28272
2042,9,0,32.0,4.0,469,27342
2043,9,0,32.0,4.0,635,24924
2044,9,0,0.1,0.02,417,24242
2045,9,0,128.0,4.0,604,31744
2046,9,0,64.0,4.0,704,27590
2047,9,0,32.0,4.0,611,29264
2048,9,0,32.0,4.0,601,24366
2049,9,0,0.06,0.02,582,22010
2050,9,0,32.0,4.0,564,25730
2051,9,0,64.0,4.0,597,28582
2052,9,0,0.1,0.02,680,22320
2053,9,0,128.0,4.0,558,31744
2054,9,0,16.0,4.0,745,27094
2055,9,0,16.0,4.0,821,27652
2056,9,0,32.0,4.0,540,27900
2057,9,0,0.1,0.02,554,23374
2058,9,0,0.06,0.02,815,16802
2060,9,0,0.06,0.02,867,18166
2061,9,0,0.06,0.03,772,20336
2062,9,0,0.1,0.02,1012,19778
2063,9,0,0.06,0.03,798,18786
2065,9,0,0.06,0.02,682,18166
2066,9,0,32.0,4.0,809,22692
2067,9,0,32.0,4.0,893,28210
2068,9,0,32.0,4.0,601,24056
2069,9,0,32.0,4.0,1045,25482
2070,9,0,16.0,4.0,679,28892
2071,9,0,16.0,4.0,1055,23126
2072,9,0,16.0,4.0,1062,21886
2073,9,0,16.0,4.0,571,24056
2074,9,0,0.1,0.02,631,20832
2075,9,0,0.1,0.03,654,20894
2076,9,0,32.0,4.0,825,27776
2077,9,0,32.0,4.0,851,23746
2078,9,0,32.0,4.0,825,26040
2079,9,0,32.0,4.0,573,24676
2080,9,0,16.0,4.0,1093,22878
2081,9,0,16.0,4.0,903,20460
2082,9,0,16.0,4.0,645,22320
2083,9,0,0.06,0.03,717,21948
2084,9,0,0.1,0.02,565,19034
2085,9,0,32.0,4.0,881,29450
2086,9,0,32.0,4.0,721,21762
2087,9,0,16.0,4.0,1052,30132
2088,9,0,32.0,4.0,817,27900
2089,9,0,32.0,4.0,1067,30814
2091,9,0,0.1,0.03,987,24056
2093,9,0,0.06,0.03,893,21142
2094,9,0,0.06,0.03,782,20398
2095,9,0,0.06,0.03,863,27218
2096,9,0,32.0,4.0,797,25110
2097,9,0,32.0,4.0,988,31620
2098,9,0,0.06,0.02,955,24986
2099,9,0,0.1,0.03,1070,25110
2100,9,0,16.0,4.0,707,28272
2101,9,0,32.0,4.0,816,28086
2102,9,0,0.06,0.02,668,21886
2103,9,0,0.1,0.03,713,19902
2104,9,0,32.0,4.0,781,26660
2105,9,0,32.0,4.0,1051,22196
2106,9,0,0.1,0.02,1006,25792
2107,9,0,0.1,0.02,660,20398
2108,11,0,16.0,4.0,694,27714
2109,11,0,32.0,4.0,918,31248
2110,11,0,16.0,4.0,720,27590
2111,11,0,256.0,4.0,489,31372
2112,11,0,256.0,4.0,496,31000
2113,11,0,128.0,4.0,386,33356
2114,11,0,128.0,4.0,623,32178
2115,11,0,128.0,4.0,875,29326
2116,11,0,64.0,4.0,986,30566
2117,11,0,16.0,4.0,1050,28644
2118,11,0,64.0,4.0,996,27466
2119,11,0,16.0,4.0,913,29946
2120,11,0,16.0,4.0,616,28954
2121,8,0,256.0,4.0,252,32364
2122,8,0,256.0,4.0,366,33108
2123,8,0,64.0,4.0,504,28582
2124,8,0,128.0,4.0,238,31248
2125,8,0,64.0,4.0,488,30504
2126,8,0,32.0,4.0,658,30008
2127,8,0,128.0,4.0,412,30070
2128,8,0,128.0,4.0,644,32550
2129,8,0,64.0,4.0,563,29946
2130,8,0,128.0,4.0,621,29140
2131,8,0,128.0,4.0,598,29636
2132,8,0,128.0,4.0,452,32240
2133,8,0,64.0,4.0,424,30752
2134,8,0,32.0,4.0,373,29202
2135,8,0,512.0,4.0,623,38068
2136,8,0,128.0,4.0,496,29388
2137,8,0,64.0,4.0,507,29574
2138,8,0,128.0,4.0,444,28768
2139,8,0,64.0,4.0,560,31744
2140,8,0,128.0,4.0,399,33232
2141,8,0,128.0,4.0,702,31806
2142,8,0,64.0,4.0,407,28272
2143,8,0,16.0,4.0,527,25854
2144,8,0,64.0,4.0,443,28024
2145,8,0,32.0,4.0,856,30566
2146,8,0,64.0,4.0,607,30442
2147,8,0,64.0,4.0,710,31062
2148,8,0,64.0,4.0,709,31062
2149,8,0,16.0,4.0,736,28024
2150,8,0,64.0,4.0,648,28954
2151,8,0,64.0,4.0,899,29698
2152,8,0,128.0,4.0,709,31930
2153,8,0,64.0,4.0,707,31000
2154,8,0,32.0,4.0,748,25606
2155,8,0,64.0,4.0,790,28768
2156,8,0,64.0,4.0,863,29512
2157,8,0,32.0,4.0,1049,28272
2158,8,0,64.0,4.0,1022,29326
2159,8,0,64.0,4.0,1065,32922
2160,8,0,64.0,4.0,1077,31496
2161,8,0,16.0,4.0,578,27094
2162,8,0,32.0,4.0,782,27962
2163,8,0,64.0,4.0,913,33170
2164,8,0,64.0,4.0,613,29884
2165,8,0,16.0,4.0,554,29450
2166,8,0,16.0,4.0,587,27900
2167,8,0,16.0,4.0,669,24676
2168,8,0,16.0,4.0,957,26226
2169,8,0,32.0,4.0,738,27590
2170,8,0,16.0,4.0,909,28768
2171,8,0,32.0,4.0,662,25606
2172,8,0,16.0,4.0,643,25110
2173,8,0,16.0,4.0,593,25172
